companyCategory,salary_currency,py_max,r_max,py_min,r_min
enterpriise software B2B,EUD,5e4,0,42e3,0
enterpriise software B2B,GBP,65e3,0,42500,0
enterpriise software B2B,INR,1025e3,11e5,4e5,9e5
enterpriise software B2B,USD,111600,15e4,70100,1e5
healthcare,GBP,7e4,0,5e4,0
healthcare,INR,1666666.667,0,9e5,0
healthcare,USD,118895.8333,122500,83062.5,78750
advertisement,INR,82e4,25e5,411666.6667,15e5
advertisement,USD,134811.3208,144e3,91471.69811,1e5
healthcare,GBP,5e4,0,3e4,0
healthcare,INR,2e6,0,1e6,0
healthcare,USD,110782.6087,16e3,73826.08696,8e3
personal healthcare,GBP,8e4,0,3e4,0
personal healthcare,USD,128157.8947,11e4,81210.52632,75e3
real estate,EUD,45e3,0,3e4,0
real estate,GBP,55e3,0,2e4,0
real estate,INR,3e5,0,18e4,0
real estate,USD,119538.4615,133333.3333,82076.92308,1e5
education,INR,3e4,0,25e3,0
education,USD,175e3,175e3,1e5,1e5
digital music,EUD,45e3,5e4,4e4,25e3
digital music,GBP,58800,0,41e3,0
digital music,INR,1162500,0,4e5,0
digital music,USD,104125,141666.6667,73593.75,93333.33333
logistics,INR,1576363.636,0,56e4,0
logistics,USD,111117.6471,115e3,78176.47059,75e3
community softwares,GBP,6e4,0,4e4,0
community softwares,INR,115e4,0,587500,0
community softwares,USD,101516.129,12e4,70129.03226,8e4
technology,EUD,0,5e4,0,3e4
technology,GBP,46666.66667,0,29333.33333,0
technology,INR,239333.3333,0,171333.3333,0
technology,USD,125571.4286,12e4,85e3,72500
online education,EUD,32e3,0,28e3,0
online education,GBP,45e3,0,32200,0
online education,INR,1142857.143,0,7e5,0
online education,USD,102740.7407,135e3,71037.03704,105e3
mobile,EUD,56111.11111,0,36037.03704,0
mobile,GBP,56250,5e4,33937.5,29e3
mobile,INR,1345865.385,175e4,738615.3846,912500
mobile,USD,110150,103272.7273,71773.07692,65636.36364
mobile advertisement,EUD,6e4,0,4e4,0
mobile advertisement,INR,1475e3,15e5,55e4,8e5
mobile advertisement,USD,92e3,6e4,63875,22500
mobile application,EUD,5e4,0,3e4,0
mobile application,INR,9e5,8e5,4e5,4e5
mobile application,USD,75e3,0,5e4,0
mobile application,YEN,325e3,0,156e3,0
mobile payment,GBP,85e3,0,35e3,0
mobile payment,INR,376e3,0,219e3,0
mobile payment,USD,136333.3333,0,87333.33333,0
mobile game,INR,1333333.333,0,8e5,0
mobile game,USD,142428.5714,0,107285.7143,0
mobile development,EUD,6e4,0,36e3,0
mobile development,USD,117500,0,81250,0
matketing,INR,15e5,0,8e5,0
matketing,USD,123391.3043,0,81652.17391,0
data analytics,EUD,7e4,0,55e3,0
data analytics,GBP,6e4,0,4e4,0
data analytics,INR,14e5,0,66e4,0
data analytics,USD,138613.6364,166923.0769,98500,138846.1538
software,GBP,75333.33333,36e3,44e3,32e3
software,INR,6e5,0,5e5,0
software,USD,116100,15e4,78175,12e4
sports industry,GBP,86250,0,43750,0
sports industry,INR,12e4,0,1e5,0
sports industry,USD,99705.88235,0,67058.82353,0
logistics,EUD,6e4,0,45e3,0
logistics,INR,18e5,0,12e5,0
logistics,USD,115461.5385,95e3,79038.46154,55e3
cloud platform,EUD,46571.42857,48e3,38428.57143,38e3
cloud platform,GBP,59e3,5e4,42e3,4e4
cloud platform,INR,1148750,175e4,613750,75e4
cloud platform,USD,111988.2353,123750,74658.82353,85625
cloud platform,YEN,4e5,0,15e4,0
cloud computing,EUD,19500,0,14500,0
cloud computing,GBP,1e5,0,5e4,0
cloud computing,INR,92e4,0,44e4,0
cloud computing,USD,127255.814,18e4,81883.72093,1e5
cloud computing,YEN,12e6,0,5e6,0
retailer,INR,668571.4286,0,371428.5714,0
retailer,USD,132500,15e4,93800,9e4
e-commerce,EUD,42200,0,32e3,0
e-commerce,GBP,63636.36364,0,42090.90909,0
e-commerce,INR,1077e3,933333.3333,566075,366666.6667
e-commerce,USD,116012.3457,16e4,77456.79012,9e4
