Date,X1,X2,X3,X4,X5,X6,S
103/11/25,15,32,16,01,44,48,40
103/11/21,03,32,02,34,26,22,40
103/11/18,12,20,43,11,28,26,06
103/11/14,44,15,41,29,16,34,49
103/11/11,18,23,11,36,05,43,14
103/11/07,49,25,40,27,19,11,33
103/11/04,20,38,03,35,30,41,47
103/10/31,14,08,27,49,10,02,20
103/10/28,16,32,25,05,37,44,21
103/10/24,36,01,20,45,17,37,15
103/10/21,31,44,42,28,14,38,45
103/10/17,32,36,33,02,20,11,39
103/10/14,47,36,20,09,14,10,08
103/10/10,11,26,01,24,28,19,33
103/10/07,45,40,17,47,18,41,29
103/10/03,10,14,19,37,24,35,39
103/09/30,49,41,18,47,36,35,15
103/09/26,15,19,29,22,37,08,39
103/09/23,38,28,20,32,02,11,16
103/09/19,06,17,29,02,32,39,04
103/09/16,41,19,07,18,16,12,45
103/09/12,27,49,02,36,31,23,15
103/09/09,42,49,21,41,29,23,14
103/09/05,16,25,32,10,36,27,45
103/09/02,39,36,43,07,08,42,22
103/08/29,39,38,21,23,10,09,35
103/08/26,23,32,43,19,01,17,09
103/08/22,43,08,23,30,16,31,18
103/08/19,12,19,06,07,14,09,17
103/08/15,47,46,29,23,18,48,05
103/08/12,12,10,06,04,34,45,44
103/08/08,32,42,26,45,38,31,37
103/08/05,40,11,26,33,04,42,34
103/08/01,45,08,21,32,05,23,18
103/07/29,47,36,32,31,44,34,46
103/07/25,45,30,21,32,05,35,26
103/07/22,28,03,13,09,17,42,14
103/07/18,19,15,21,02,30,01,40
103/07/15,07,32,18,23,48,34,13
103/07/11,07,18,30,01,15,14,33
103/07/08,33,10,39,22,47,25,38
103/07/04,48,14,24,17,27,03,28
103/07/01,09,21,48,08,07,06,18
103/06/27,35,34,36,27,13,21,24
103/06/24,14,40,08,01,12,41,15
103/06/20,14,36,12,16,33,47,48
103/06/17,03,06,20,48,18,25,12
103/06/13,28,32,37,42,04,21,16
103/06/10,03,32,11,35,33,28,30
103/06/06,41,29,47,49,25,40,48
103/06/03,31,32,16,44,35,33,46
103/05/30,21,09,17,35,24,30,15
103/05/27,26,19,23,10,39,32,16
103/05/23,30,11,22,46,17,27,15
103/05/20,34,33,30,13,35,06,38
103/05/16,45,41,31,42,14,38,29
103/05/13,32,20,31,44,29,15,23
103/05/09,13,01,27,21,37,11,03
103/05/06,10,46,39,35,40,25,31
103/05/02,01,25,37,23,07,40,12
103/04/29,02,46,09,44,30,27,22
103/04/25,46,24,34,04,38,35,30
103/04/22,18,37,20,11,12,15,42
103/04/18,08,48,15,40,09,44,24
103/04/15,26,44,24,08,35,05,41
103/04/11,01,03,17,09,12,04,15
103/04/08,28,27,17,01,45,14,11
103/04/04,08,24,35,37,41,47,23
103/04/01,46,18,29,30,47,22,06
103/03/28,09,18,23,36,47,35,41
103/03/25,19,25,47,42,30,23,16
103/03/21,47,26,46,08,31,18,20
103/03/18,26,40,35,39,12,28,16
103/03/14,47,08,40,41,27,02,28
103/03/11,40,20,15,16,13,43,14
103/03/07,38,26,06,37,18,30,16
103/03/04,43,08,40,35,37,26,06
103/02/28,17,24,13,18,32,28,37
103/02/25,13,09,05,03,46,12,04
103/02/21,11,12,23,40,28,48,09
103/02/18,47,19,06,26,32,20,35
103/02/14,24,10,48,33,20,19,01
103/02/11,15,31,21,06,44,22,41
103/02/07,22,05,28,11,21,12,25
103/02/04,19,46,32,12,42,08,28
103/02/03,02,16,27,30,17,01,48
103/02/02,14,45,03,24,19,13,05
103/02/01,36,37,13,19,09,06,27
103/01/31,38,17,23,49,48,27,19
103/01/30,09,22,49,48,45,44,08
103/01/28,02,30,07,26,05,01,24
103/01/24,04,20,29,41,45,01,36
103/01/21,22,43,12,44,38,15,09
103/01/17,20,29,13,15,26,36,37
103/01/14,11,49,02,45,41,21,26
103/01/10,07,19,17,30,37,32,03
103/01/07,01,07,25,36,21,35,39
103/01/03,11,35,21,18,37,20,08
